date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:12	46956/46956	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-b76c%22	https://books.toscrape.com/media/cache/b1/0f/b10faf0dee8994865437ffc79682dc2f.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/b1/0f/b10faf0dee8994865437ffc79682dc2f.jpg	(from https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html)
11:42:13	31821/31821	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-7c4d%22	https://books.toscrape.com/media/cache/17/19/1719475c51206a410a90fe5f3708df4c.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/17/19/1719475c51206a410a90fe5f3708df4c.jpg	(from https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html)
11:42:13	19270/19270	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-4b46%22	https://books.toscrape.com/media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg	(from https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html)
11:42:13	30863/30863	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-788f%22	https://books.toscrape.com/media/cache/11/08/1108a8d9ebccd9cd474012121c32a7f5.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/11/08/1108a8d9ebccd9cd474012121c32a7f5.jpg	(from https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html)
11:42:14	35526/35526	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-8ac6%22	https://books.toscrape.com/media/cache/15/97/15972684c6f44f1be5e751d2e067cc16.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/15/97/15972684c6f44f1be5e751d2e067cc16.jpg	(from https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html)
11:42:14	53935/53935	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de9-d2af%22	https://books.toscrape.com/media/cache/c5/f2/c5f2361aab546bc7f851cf93aec94ca3.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/c5/f2/c5f2361aab546bc7f851cf93aec94ca3.jpg	(from https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html)
11:42:14	24329/24329	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-5f09%22	https://books.toscrape.com/media/cache/28/ea/28ea530a8b7955e422df64beaed7871a.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/28/ea/28ea530a8b7955e422df64beaed7871a.jpg	(from https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html)
11:42:14	40308/40308	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-9d74%22	https://books.toscrape.com/media/cache/13/2a/132a17f55f0048a2f2df748c9f5ce4e4.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/13/2a/132a17f55f0048a2f2df748c9f5ce4e4.jpg	(from https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html)
11:42:15	34944/34944	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-8880%22	https://books.toscrape.com/media/cache/3d/9d/3d9d46815a4be5e5e6f5e641d8268961.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/3d/9d/3d9d46815a4be5e5e6f5e641d8268961.jpg	(from https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html)
11:42:15	18442/18442	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-480a%22	https://books.toscrape.com/media/cache/2e/52/2e52982210cbc8dffe414cab72b52e38.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/2e/52/2e52982210cbc8dffe414cab72b52e38.jpg	(from https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html)
11:42:15	30465/30465	---M--	200	added ('OK')	image/jpeg	etag:%2263e40de8-7701%22	https://books.toscrape.com/media/cache/3b/41/3b414b6d0340a0cbbd05be0942ddaada.jpg	C:/My%20Web%20Sites/booktoscrape/books.toscrape.com/media/cache/3b/41/3b414b6d0340a0cbbd05be0942ddaada.jpg	(from https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html)
